Date,Open,High,Low,Close,Volume,Adj Close
2009-01-30,100.11,105.04,99.75,104.58,800,26772.48
2009-02-02,108.1,108.1,103.94,104.25,1200,26688.0
2009-02-03,104.14,104.14,99.31,99.37,600,25438.72
2009-02-04,98.25,100.39,97.0,99.74,600,25533.44
2009-02-05,101.6,103.79,98.15,99.13,900,25377.28
2009-02-06,99.0,99.02,95.06,97.7,500,25011.2
2009-02-09,98.33,100.32,97.87,99.33,400,25428.48
2009-02-10,101.0,105.66,98.78,104.6,1000,26777.6
2009-02-11,104.05,104.83,102.1,103.07,300,26385.92
2009-02-12,105.25,108.0,102.76,102.76,300,26306.56
2009-02-13,103.24,103.24,101.0,101.99,400,26109.44
2009-02-17,107.0,110.78,106.0,107.09,300,27415.04
2009-02-18,105.0,109.68,105.0,108.22,300,27704.32
2009-02-19,108.03,109.05,105.49,108.28,100,27719.68
2009-02-20,111.89,116.4,111.44,113.32,600,29009.92
2009-02-23,111.0,119.52,111.0,119.38,300,30561.28
2009-02-24,120.0,120.0,107.7,108.08,500,27668.48
2009-02-25,109.27,113.04,105.14,107.45,600,27507.2
2009-02-26,105.98,109.41,102.96,108.52,300,27781.12
2009-02-27,113.71,113.71,105.96,108.67,400,27819.52
2009-03-02,111.02,118.02,111.02,116.39,600,29795.84
2009-03-03,113.05,118.55,113.05,115.9,500,29670.4
2009-03-04,114.99,114.99,104.79,107.81,600,27599.36
2009-03-05,110.6,114.99,108.51,114.3,700,29260.8
2009-03-06,114.98,115.61,110.7,113.38,800,29025.28
2009-03-09,113.55,114.5,110.26,113.82,500,29137.92
2009-03-10,113.0,113.0,104.66,105.34,600,26967.04
2009-03-11,104.0,106.2,102.16,104.56,1300,26767.36
2009-03-12,104.35,105.7,101.93,102.74,1800,26301.44
2009-03-13,102.2,105.49,101.97,104.25,1900,26688.0
2009-03-16,104.0,108.02,103.61,107.92,2000,27627.52
2009-03-17,108.98,109.3,103.97,104.18,2100,26670.08
2009-03-18,105.1,106.11,102.1,104.44,2700,26736.64
2009-03-19,104.9,109.34,102.0,109.34,2200,27991.04
2009-03-20,108.52,116.86,108.5,115.96,2800,29685.76
2009-03-23,113.0,114.75,108.31,108.62,2600,27806.72
2009-03-24,109.51,110.93,106.53,110.4,2000,28262.4
2009-03-25,108.05,111.64,105.15,108.64,2500,27811.84
2009-03-26,106.69,106.7,103.18,104.36,2300,26716.16
2009-03-27,104.47,107.41,104.47,107.31,1800,27471.36
2009-03-30,112.0,116.45,111.16,115.29,3000,29514.24
2009-03-31,114.4,114.98,111.3,113.21,2300,28981.76
2009-04-01,117.03,118.99,110.6,111.17,2400,28459.52
2009-04-02,108.0,110.96,106.49,109.35,3000,27993.6
2009-04-03,114.05,114.05,106.84,107.42,1600,27499.52
2009-04-06,108.39,109.84,107.85,108.02,2100,27653.12
2009-04-07,108.89,110.0,107.03,108.01,2200,27650.56
2009-04-08,105.76,108.29,105.6,105.78,1700,27079.68
